block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,541.4,146.4,523.4,128.4,0.8546
2,0,18.0,146.4,541.4,315.4,523.4,169.0,0.8546
3,0,18.0,315.4,541.4,504.1,523.4,188.7,0.8546
4,0,18.0,504.1,541.4,630.4,523.4,126.3,0.8546
5,0,18.0,630.4,541.4,774.0,523.4,143.6,0.8546
6,1,18.0,18.0,498.9,195.9,480.9,177.9,0.7851
7,1,18.0,195.9,498.9,529.4,480.9,333.5,0.7851
8,1,18.0,529.4,498.9,774.0,480.9,244.6,0.7851
9,2,18.0,18.0,502.0,332.1,484.0,314.1,0.7903
10,2,18.0,332.1,502.0,609.8,484.0,277.7,0.7903
11,2,18.0,609.8,502.0,774.0,484.0,164.2,0.7903
12,3,18.0,18.0,560.9,281.8,542.9,263.8,0.8863
13,3,18.0,281.8,560.9,568.1,542.9,286.3,0.8863
14,3,18.0,568.1,560.9,774.0,542.9,205.9,0.8863
15,4,18.0,18.0,572.4,331.3,554.4,313.3,0.9052
16,4,18.0,331.3,572.4,570.7,554.4,239.4,0.9052
17,4,18.0,570.7,572.4,774.0,554.4,203.3,0.9052
18,5,18.0,18.0,594.0,350.7,576.0,332.7,0.9404
19,5,18.0,350.7,594.0,729.9,576.0,379.2,0.9404
20,6,18.0,18.0,594.0,406.2,576.0,388.2,0.9404
21,7,18.0,18.0,544.0,621.1,526.0,603.1,0.8588
22,7,18.0,621.1,544.0,774.0,526.0,152.9,0.8588
23,8,18.0,18.0,594.0,169.2,576.0,151.2,0.9404
24,8,18.0,169.2,594.0,361.5,576.0,192.3,0.9404
25,8,18.0,361.5,594.0,659.0,576.0,297.5,0.9404
26,9,18.0,18.0,594.0,678.4,576.0,660.4,0.9404
27,10,18.0,18.0,502.5,325.6,484.5,307.6,0.7911
28,10,18.0,325.6,502.5,419.7,484.5,94.2,0.7911
29,10,18.0,419.7,502.5,649.8,484.5,230.1,0.7911
30,10,18.0,649.8,502.5,774.0,484.5,124.2,0.7911
31,11,18.0,18.0,594.0,560.1,576.0,542.1,0.9404
32,11,18.0,560.1,594.0,736.6,576.0,176.5,0.9404
