block,output_page,x0,y0,x1,y1,scaled_w,scaled_h,effective_scale
1,0,18.0,18.0,300.0,197.3,282.0,179.3,0.4100
2,0,18.0,197.3,300.0,375.8,282.0,178.6,0.4105
3,0,18.0,375.8,300.0,554.8,282.0,179.0,0.4100
4,0,18.0,554.8,300.0,733.8,282.0,178.9,0.4078
5,0,312.0,18.0,594.0,195.9,282.0,177.9,0.4105
6,0,312.0,195.9,594.0,373.8,282.0,177.9,0.4083
7,0,312.0,373.8,594.0,558.4,282.0,184.5,0.4100
8,0,312.0,558.4,594.0,736.6,282.0,178.3,0.4091
9,1,18.0,18.0,300.0,197.8,282.0,179.8,0.4091
10,1,18.0,197.8,300.0,375.5,282.0,177.7,0.4114
11,1,18.0,375.5,300.0,555.2,282.0,179.7,0.4109
12,1,18.0,555.2,300.0,734.2,282.0,179.0,0.4100
13,1,312.0,18.0,594.0,197.2,282.0,179.2,0.4105
14,1,312.0,197.2,594.0,376.6,282.0,179.5,0.4118
15,1,312.0,376.6,594.0,554.7,282.0,178.1,0.4100
16,1,312.0,554.7,594.0,733.7,282.0,179.0,0.4100
17,2,18.0,18.0,300.0,196.8,282.0,178.8,0.4118
18,2,18.0,196.8,300.0,375.1,282.0,178.2,0.4118
19,2,18.0,375.1,300.0,561.3,282.0,186.3,0.4065
20,2,18.0,561.3,300.0,741.3,282.0,180.0,0.4123
21,2,312.0,18.0,594.0,196.9,282.0,178.9,0.4091
22,2,312.0,196.9,594.0,376.7,282.0,179.8,0.4118
23,2,312.0,376.7,594.0,555.2,282.0,178.5,0.4118
24,2,312.0,555.2,594.0,733.9,282.0,178.7,0.4100
25,3,18.0,18.0,300.0,205.0,282.0,187.0,0.4060
26,3,18.0,205.0,300.0,383.5,282.0,178.5,0.4083
27,3,18.0,383.5,300.0,561.9,282.0,178.4,0.4109
28,3,18.0,561.9,300.0,741.0,282.0,179.1,0.4096
29,3,312.0,18.0,594.0,196.9,282.0,178.9,0.4105
30,3,312.0,196.9,594.0,375.2,282.0,178.4,0.4100
31,3,312.0,375.2,594.0,554.0,282.0,178.8,0.4109
32,3,312.0,554.0,594.0,741.0,282.0,187.0,0.4100
33,4,18.0,18.0,300.0,197.4,282.0,179.4,0.4096
34,4,18.0,197.4,300.0,376.6,282.0,179.2,0.4141
35,4,18.0,376.6,300.0,554.8,282.0,178.2,0.4132
36,4,18.0,554.8,300.0,733.8,282.0,179.0,0.4087
37,4,312.0,18.0,594.0,196.9,282.0,178.9,0.4105
38,4,312.0,196.9,594.0,375.3,282.0,178.5,0.4096
39,4,312.0,375.3,594.0,554.4,282.0,179.1,0.4109
40,4,312.0,554.4,594.0,734.0,282.0,179.6,0.4087
